Rtype,!rs1:u8,!rs2:u8,!rd:u8,funct7:u8,funct3:u8,opcode
Itype,!imm:i32,!rs1:u8,!rd:u8,funct3:u8,opcode:u8,
Stype,!imm:i32,!rs2:u8,!rs1:u8,funct3:u8,opcode:u8,
Btype,!imm:i32,!rs2:u8,!rs1:u8,funct3:u8,opcode:u8,
Utype,!imm:i32,!rd:u8,opcode:u8,,,
Jtype,!imm:i32,!rd:u8,opcode:u8,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
LUI,Utype,0110111,,,,
AUIPC,Utype,0010111,,,,
ADDI,Itype,000,0010011,,,
SLTI,Itype,010,0010011,,,
ADD,Rtype,0000000,000,0110011,,
SUB,Rtype,0100000,000,0110011,,
BEQ,Btype,000,1100011,,,
BNE,Btype,001,1100011,,,
SW,Stype,010,0100011,,,
SH,Stype,001,0100011,,,
JAL,Jtype,1101111,,,,
